Dataset,KMeans Accuracy,KMeans F1 Score,KMeans Inertia,KMeans Silhouette,KMeans Davies-Bouldin,KMeans Calinski-Harabasz,KMeans Adjusted Rand,KMeans Normalized MI,KMeans Adjusted MI,KMeans Mutual Info,KCenter Accuracy,KCenter F1 Score,KCenter Max Distance,KCenter Silhouette,KCenter Davies-Bouldin,KCenter Calinski-Harabasz,KCenter Adjusted Rand,KCenter Normalized MI,KCenter Adjusted MI,KCenter Mutual Info
Rings,0.3655555555555556,0.3654776157700846,3072.7155791027994,0.3321939975941566,0.9706270946185542,567.7985248087784,0.0014972261944376389,0.003333075581154973,0.0013069007290015988,0.0036616776733323364,0.5222222222222223,0.4101057629596758,4.512476338458667,0.2989046830168755,0.9591022782546853,405.0258440433577,0.12774089436639202,0.19160503639073695,0.1897911825729578,0.1910356874773282
Moons,0.8333333333333334,0.7692525683329362,2305.5341495355665,0.461459862757578,0.679711435067697,1413.830790145711,0.7310161037374497,0.8526473954698824,0.8517546315974222,1.4877005233141416,0.9483333333333334,0.9485005191526931,3.188825589747495,0.5587989363075153,0.5906585329119809,2161.2429141353086,0.8820396630674253,0.9068106182396293,0.9062603842938183,1.6206654409465817
MNIST,0.582,0.5478311606620249,37405.90115136816,0.07942386296415202,2.678862913011603,41.70885619857695,0.3206530586508403,0.4917761881041345,0.4820950988751142,1.101089822559684,0.322,0.28496052962059026,10.998274654106728,0.05683878247187081,2.728160201274933,20.324343781777266,0.050570900986370126,0.26428781004345453,0.24535533420373523,0.4712738396347215
Iris,0.8933333333333333,0.8917748917748919,78.85144142614601,0.5528190123564095,0.6619715465007465,561.62775662962,0.7302382722834697,0.7581756800057784,0.7551191675800484,0.8255910976103356,0.8533333333333334,0.8458736163654197,2.24276614920058,0.5415162227949831,0.6536413454536482,516.3950778953309,0.663433743503878,0.7540014129696433,0.7508131038012875,0.8031731131756715
Wine,0.6853932584269663,0.5330478841076144,2633555.3324093386,0.5595823478987213,0.5495575974642909,497.00487620805814,0.3517721516862617,0.4233092693447351,0.41675909240739406,0.43310519040274875,0.5955056179775281,0.4598844856178876,415.25094966778823,0.41887586669673776,0.581696130632238,273.46556927135447,0.17581788143089194,0.29704563541408735,0.28888252616643734,0.2994496779751387
Breast Cancer,0.8541300527240774,0.82680748849405,77943099.87829885,0.6972646156059464,0.5044035685410985,1300.2082268895424,0.49142453622455523,0.46479332792160793,0.46400471284520917,0.2788454615572362,0.648506151142355,0.4441622381994373,2033.0174565686452,0.7164386690622568,0.37992058907912024,233.0330986481777,0.03031328353580367,0.05561790490844043,0.05331340671143151,0.02120617127860358
Swiss Roll,0.603,0.44396059451271186,39446.63588872635,0.29848187486154276,0.9903822087233766,442.4735928923113,0.33013059302036313,0.4560809851138546,0.45226389336246264,0.7765796322873209,0.458,0.3297718653665255,14.226390190070903,0.24876198031924973,1.1205794994188718,357.4272517292495,0.19453027440986442,0.3128457700153927,0.3079821613370565,0.5267737304475478
